TM068,Limits Engine HARD SOFT,Core Banking,AM002,CORE,demo-bank-core,P1,Y,Digital,TM068,No,ƒ?? Core,Limits HARD SOFT Redis,J21+Redis,TM007,99.99%,Covered
TM069,Exceptions Ops Recon,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM069,No,ƒ?? Core,Exceptions Ops Recon,J21,TM098,99.90%,Covered
TM070,SWIFT MT MX ISO20022,Payments,,PAY,demo-bank-payments,P1,Y,Digital,TM070,No,ƒ?? Core,SWIFT MT MX ISO20022 Adapter,J21,TM071,99.99%,Covered
TM071,Payment Rails Adapters,Payments,,PAY,demo-bank-payments,P1,Y,Digital,TM071,No,ƒ?? Core,Rail Adapters ACH RTGS PAPSS,J21,TM088,99.99%,Covered
TM072,Liquidity ALM Cash Forecast,Treasury,,TRES,demo-bank-treasury,P1,Y,Digital,TM072,No,ƒ?? Core,Liquidity ALM Cash Forecast,J21,TM053,99.90%,Covered
TM073,Reconciliation v2,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM073,No,ƒ?? Core,Auto-Recon Discrepancies,J21,TM069,99.90%,Covered
TM074,Reg Reporting XBRL,Security & Compliance,SC001,SEC,demo-bank-security,P1,Y,Digital,TM074,No,ƒ?? Core,Reg Reporting XBRL Basels,J21,TM108,99.90%,Covered
TM075,DW Star Schema BI,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,Digital,TM075,No,ƒ?? Core,DW Star Schema BI,J21,TM066,99.90%,Covered
TM076,BI Dashboards KPI,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,Digital,TM076,No,ƒ?? Core,BI Dashboards KPI,J21,TM075,99.90%,Covered
TM077,Relationship Pricing v2,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM077,No,ƒ?? Core,Relationship Pricing v2,J21,TM029,99.90%,Covered
TM078,AML Transaction Monitoring,Security & Compliance,SC002,SEC,demo-bank-security,P1,Y,"AI,TOC_II",TM078,No,ƒ?? Core,ML scenarios + graph SAR filing,J21+PY,TM080,50ms,Covered
TM079,Credit Risk PD LGD EAD,Risk & Compliance,,RISK,demo-bank-security,P1,Y,"AI,TOC_II",TM079,No,ƒ?? Core,PD LGD EAD IFRS9,J21+PY,TM080,99.90%,Covered
TM080,ML AI Platform Model Factory,Analytics & Insights,,AI,demo-bank-platform,P1,Y,"AI,Comprehensive",TM080,No,ƒ?? Core,Model factory feature store MLflow,PY,,99.99%,Covered
TM081,Fraud Detection Real-time,Security & Compliance,SC015,SEC,demo-bank-security,P1,Y,"AI,TOC_II",TM081,No,ƒ?? Core,Real-time ML block 50ms,J21+PY,TM080,50ms,Covered
TM082,Product Catalog DSL v2,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM082,No,ƒ?? Core,Product Catalog DSL v2,J21,TM003,99.90%,Covered
TM083,Charges Fees Billing,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM083,No,ƒ?? Core,Charges Fees Billing,J21,TM099,99.90%,Covered
TM084,Tax Engine v2 WHT VAT,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM084,No,ƒ?? Core,Tax Engine v2 WHT VAT,J21,TM008,99.90%,Covered
TM085,Customer 360 NBA CLV,CX,DX005,CX,demo-bank-analytics,P1,Y,"AI,Comprehensive",TM085,No,ƒ?? Core,Segmentation NBA CLV,J21+PY,TM080,99.90%,Covered
TM086,Party 360 UBO Links,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM086,No,ƒ?? Core,Party 360 UBO Links,J21,TM001,99.90%,Covered
TM087,Accounts DDA TD v2,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM087,No,ƒ?? Core,Accounts DDA TD v2,J21,TM002,99.90%,Covered
TM088,Payments Hub v2,Payments,PT002,PAY,demo-bank-payments,P1,Y,"Digital,Folder",TM088,No,ƒ?? Core,ACH Wire Instant Bill P2P QR Mobile Money PAPSS IoT,J21+Kafka,TM006,99.99%,Covered
TM089,Cards Issuing Acq v2,Payments,AM001,CARD,demo-bank-payments,P1,Y,Digital,TM089,No,ƒ?? Core,Issuing Acq Tokens Contactless Biometric Cards,J21,TM061,99.99%,Covered
TM090,Lending Core v2,Lending & Credit,FP004,LEND,demo-bank-services,P1,Y,Digital,TM090,No,ƒ?? Core,Retail SME Corp SACCO Agri Islamic,J21,TM022,99.90%,Covered
TM091,Deposits TD v2,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM091,No,ƒ?? Core,Sweep Rates Islamic Digital Wallets,J21,TM033,99.90%,Covered
TM092,Trade Finance LC v2,Trade Finance,,TF,demo-bank-services,P1,Y,Digital,TM092,No,ƒ?? Core,LC Guarantees Docs Blockchain,J21,TM034,99.90%,Covered
TM093,Nostro Vostro v2,Treasury,,TRES,demo-bank-treasury,P1,Y,Digital,TM093,No,ƒ?? Core,Nostro Vostro Statements Fees,J21,TM051+TM052,99.90%,Covered
TM094,Channels Digital v2,CX,DX008,DX,demo-bank-channels,P1,Y,Digital,TM094,No,ƒ?? Core,Web Mobile OpenBanking Wealth PFM Gamification,J21+React,TM011,99.90%,Covered
TM095,Branch Teller v2,CX,,CX,demo-bank-channels,P1,Y,Digital,TM095,No,ƒ?? Core,ATM Cash Cardless Agent Banking,J21,TM015,99.90%,Covered
TM096,Onboarding KYC v2,Security & Compliance,SC003,SEC,demo-bank-security,P1,Y,"AI,Comprehensive",TM096,No,ƒ?? Core,Liveness OCR SIM Check TM043,J21+PY,TM043,99.90%,Covered
TM097,Document Mgmt v2,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM097,No,ƒ?? Core,E-sign WORM TM062,J21,TM062,99.90%,Covered
TM098,Workflow Case Mgmt,Operations,AM007,OPS,demo-bank-platform,P1,Y,Digital,TM098,No,ƒ?? Core,Camunda SLA Maker-Checker,J21,,99.90%,Covered
TM099,Billing v2,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM099,No,ƒ?? Core,Billing Invoicing Dunning,J21,TM035,99.90%,Covered
TM100,Disaster Recovery DR,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM100,No,ƒ?? Core,DR RTO RPO Backup,J21,,99.99%,Covered
TM101,Agent Banking & Float Mgmt,Financial Inclusion,PT012,CX,demo-bank-services,P1,Y,"Misc,Folder",TM101,Yes,ƒ?? New TM101,Agent float commission cash-in cash-out,PY+J21,,99.90%,Covered
TM102,GenAI Dashboards Advisors,AI & ML,DX011,AI,demo-bank-platform,P1,Y,"PHASE11,TOC_II",TM102,Yes,ƒ?? New TM102,LLM RAG Robo-Advisors Chatbots,PY+J21,TM080+TM075,99.90%,Covered
TM103,ESG Data Lakehouse,Analytics & Insights,FP015,AI,demo-bank-platform,P2,Y,PHASE11,TM103,Yes,ƒ?? New TM103,Green Finance ESG Reporting,PY+J21,TM075,99.90%,Covered
TM104,Open Finance API Marketplace,Open Banking,DX009,AI,demo-bank-platform,P1,Y,"PHASE11,TOC_II",TM104,Yes,ƒ?? New TM104,API Marketplace Composable Banking,J21,TM065,99.90%,Covered
TM105,Low-Code Studio,Operations,,OPS,demo-bank-platform,P2,Y,"PHASE11,TOC_II",TM105,Yes,ƒ?? New TM105,RAD Visual Dev Drag-Drop,J21,,99.90%,Covered
TM106,Super App Framework,CX,DX003,DX,demo-bank-channels,P2,Y,PHASE11,TM106,Yes,ƒ?? New TM106,Mini-App SDK Marketplace,J21+React,TM094,99.90%,Covered
TM107,AI Agent Orchestrator,Operations & Efficiency,SC009,AI,demo-bank-platform,P1,Y,"PHASE11,TOC_II",TM107,Yes,ƒ?? New TM107,Agentic AI Autonomous RPA Predictive Maintenance,PY+J21,TM061+TM098,99.90%,Covered
TM108,Compliance Orchestrator,Risk & Compliance,SC006,SEC,demo-bank-security,P1,Y,"PHASE11,TOC_II",TM108,No,ƒ?? Core,RegTech country.yml GDPR PCI-DSS AML,J21,TM043,99.99%,Covered
TM109,Digital Assets DLT,Payments,PT003,AI,demo-bank-payments,P1,Y,"PHASE11,TOC_II",TM109,No,ƒ?? Core,CBDC Crypto Custody RWA Tokenization DeFi,J21+PY,,99.90%,Covered
TM110,Alternative Data Credit,Lending & Credit,FP017,LEND,demo-bank-services,P1,Y,"PHASE11,AI",TM110,No,ƒ?? Core,Telco utility mobile psychometric ML,PY,TM079,99.90%,Covered
TM111,Embedded Finance SDK,Open Banking,PT006,AI,demo-bank-platform,P1,Y,"PHASE11,TOC_II",TM111,Yes,ƒ?? New TM111,TFaaS BaaS API-Driven Insurance,J21,TM104,99.90%,Covered
TM112,Channel Orchestrator,CX,DX001,DX,demo-bank-channels,P1,Y,"PHASE11,TOC_II",TM112,No,ƒ?? Core,USSD Voice WhatsApp ARVR IoT Cardless ATM,J21,TM060,99.90%,Covered
ModuleCode,FeatureName,BusinessDomain,BusinessCode,Category,Parent,Priority,InScopeR17,SourceDoc,CoveredByTM,ExtensionNeeded,Method,Description,TechStack,Dependencies,SLA,GapStatus
TM089,Card Freeze Unfreeze,Payments,AM001,CARD,demo-bank-payments,P1,Y,Digital_All,TM089,No,ƒ?? Core,Allow users to freeze/unfreeze cards,J21,TM061,99.99%,Covered
TM068,Spending Limits Controls,Payments,AM002,CARD,demo-bank-security,P1,Y,Digital_All,TM068,No,ƒ?? Core,Enable users to set spending limits,J21+Redis,TM007,99.99%,Covered
TM081,Transaction-Specific Controls,Risk & Compliance,AM003,SEC,demo-bank-security,P1,Y,Digital_All,TM081+TM068,No,ƒ?? Core,Location-based transaction restrictions,J21+PY,TM080,50ms,Covered
TM086,Account Linking,Core Banking,AM004,CORE,demo-bank-core,P1,Y,Digital_All,TM086,No,ƒ?? Core,Link multiple accounts for management,J21,TM001,99.90%,Covered
TM087,Transaction History Statements,Core Banking,AM005,CORE,demo-bank-core,P1,Y,Digital_All,TM087+TM099,No,ƒ?? Core,Provide transaction history and statements,J21,TM002,99.90%,Covered
TM086,Account Details Settings,Core Banking,AM006,CORE,demo-bank-core,P1,Y,Digital_All,TM086+TM087,No,ƒ?? Core,Manage account details and settings,J21,TM001,99.90%,Covered
TM098,Subscription Recurring Payments,Operations,AM007,OPS,demo-bank-platform,P1,Y,Digital_All,TM090+TM098,No,ƒ?? Core,Manage subscriptions and recurring payments,J21,TM063,99.90%,Covered
TM087,Low-Cost Account Options,Core Banking,AM008,CORE,demo-bank-core,P1,Y,Digital_All,TM087+TM077,No,ƒ?? Core,Offer low-cost account options,J21,TM077,99.90%,Covered
TM088,Bill Pay Presentment,Payments,PT001,PAY,demo-bank-payments,P1,Y,Digital_All,TM088,No,ƒ?? Core,Pay bills and view statements online,J21+Kafka,TM006,99.99%,Covered
TM088,P2P Payments,Payments,PT002,PAY,demo-bank-payments,P1,Y,Digital_All,TM088,No,ƒ?? Core,Send and receive money P2P,J21+Kafka,TM006,99.99%,Covered
TM109,Blockchain-Based Payments,Payments,PT003,PAY,demo-bank-payments,P1,Y,"Digital_All,TOC_II",TM109,No,ƒ?? Core,Enable blockchain-based transactions,J21+PY,,99.90%,Covered
TM112,IoT Payments,Channels,PT004,DX,demo-bank-channels,P1,Y,"Digital_All,TOC_II",TM112,No,ƒ?? Core,Payments through IoT devices,J21,TM060,99.90%,Covered
TM088,Cross-Border Payments,Payments,PT005,PAY,demo-bank-payments,P1,Y,Digital_All,TM088+TM071,No,ƒ?? Core,International money transfers,J21,TM070,99.99%,Covered
TM111,Embedded Finance,Open Banking,PT006,AI,demo-bank-platform,P1,Y,"Digital_All,TOC_II",TM111,Yes,ƒ?? New TM111,Embedded finance solutions,J21,TM104,99.90%,Covered
TM112,Voice-Activated Payments,Channels,PT007,DX,demo-bank-channels,P1,Y,"Digital_All,TOC_II",TM112,No,ƒ?? Core,Voice-activated payments,J21,TM060,99.90%,Covered
TM111,Social Commerce Payments,Open Banking,PT0098,PAY,demo-bank-payments,P1,Y,Digital_All,TM111,Yes,ƒ?? New TM111,Payments through social commerce,J21,TM104,99.90%,Covered
TM088,Digital Vouchers,Payments,PT009,PAY,demo-bank-payments,P1,Y,Digital_All,TM088,No,ƒ?? Core,Offer digital vouchers for transactions,J21,TM006,99.99%,Covered
TM109,CBDC Integration,Payments,PT010,PAY,demo-bank-payments,P1,Y,"Digital_All,TOC_II",TM109,No,ƒ?? Core,Integrate CBDCs for transactions,J21+PY,,99.90%,Covered
TM088,Mobile Money Services,Payments,PT011,PAY,demo-bank-payments,P1,Y,Digital_All,TM088,No,ƒ?? Core,Mobile money services,J21,TM071,99.99%,Covered
TM101,Agent Banking,Financial Inclusion,PT012,CX,demo-bank-services,P1,Y,"Digital_All,Folder",TM101,Yes,ƒ?? New TM101,Enable agent banking services,PY+J21,,99.90%,Covered
TM101,Cash-in Cash-out Services,Financial Inclusion,PT013,CX,demo-bank-services,P1,Y,Digital_All,TM101,Yes,ƒ?? New TM101,Cash-in and cash-out services,PY+J21,,99.90%,Covered
TM089,Contactless Payments NFC,Payments,PT014,CARD,demo-bank-payments,P1,Y,Digital_All,TM089,No,ƒ?? Core,Tap-to-pay NFC payments,J21,TM061,99.99%,Covered
TM088,QR Code Payments,Payments,PT015,PAY,demo-bank-payments,P1,Y,Digital_All,TM088,No,ƒ?? Core,QR code payment processing,J21,TM006,99.99%,Covered
TM038,Investment Wealth Management,Financial Planning,FP001,FP,demo-bank-services,P1,Y,Digital_All,TM038+TM102,No,ƒ?? Core,Investment products portfolio management,J21,TM102,99.90%,Covered
TM085,Personalized Financial Insights,CX,FP02,CX,demo-bank-analytics,P1,Y,Digital_All,TM085+TM080,No,ƒ?? Core,Personalized financial advice,J21+PY,TM080,99.90%,Covered
TM037,Insurance Services,Financial Planning,FP003,FP,demo-bank-services,P1,Y,Digital_All,TM037,No,ƒ?? Core,Insurance quotes and policy management,J21,,99.90%,Covered
TM090,Credit Scoring Lending,Lending & Credit,FP004,LEND,demo-bank-services,P1,Y,Digital_All,TM090+TM079,No,ƒ?? Core,Loan origination and lending,J21,TM079,99.90%,Covered
TM085,Automated Savings Tools,CX,FP005,CX,demo-bank-analytics,P1,Y,Digital_All,TM085+TM077,No,ƒ?? Core,Round-up savings automated transfers,J21+PY,TM080,99.90%,Covered
TM102,AI-Powered Financial Advisors,AI & ML,FP006,AI,demo-bank-platform,P1,Y,Digital_All,TM102,Yes,ƒ?? New TM102,AI-driven financial advisory,PY+J21,TM080,99.90%,Covered
TM110,Real-Time Credit Scoring,Lending & Credit,FP007,LEND,demo-bank-services,P1,Y,Digital_All,TM110,No,ƒ?? Core,Real-time credit scoring services,PY,TM079,99.90%,Covered
TM080,Predictive Analytics,Analytics & Insights,FP008,AI,demo-bank-analytics,P1,Y,"Digital_All,TOC_II",TM080,No,ƒ?? Core,Predictive analytics for insights,PY,,99.90%,Covered
TM094,PFM Budgeting Tools,CX,FP009,CX,demo-bank-channels,P1,Y,Digital_All,TM094,No,ƒ?? Core,PFM tools for budgeting tracking,J21+React,TM011,99.90%,Covered
TM090,Digital Lending Platforms,Lending & Credit,FP010,LEND,demo-bank-services,P1,Y,Digital_All,TM090,No,ƒ?? Core,Digital lending platforms,J21,TM022,99.90%,Covered
TM109,Cryptocurrency Trading,Payments,FP011,AI,demo-bank-payments,P1,Y,"Digital_All,TOC_II",TM109,No,ƒ?? Core,Trading of cryptocurrencies,J21+PY,,99.90%,Covered
TM102,Robo-Advisory Services,AI & ML,FP012,AI,demo-bank-platform,P1,Y,Digital_All,TM102+TM038,Yes,ƒ?? New TM102,Automated investment advisory,PY+J21,TM080,99.90%,Covered
TM101,Financial Inclusion Solutions,Financial Inclusion,FP013,CX,demo-bank-services,P1,Y,Digital_All,TM101+TM096,Yes,ƒ?? New TM101,Solutions for financial inclusion,PY+J21,,99.90%,Covered
TM037,InsurTech Integration,Financial Planning,FP014,FP,demo-bank-services,P1,Y,Digital_All,TM037+TM104,No,ƒ?? Core,InsurTech solutions integration,J21,TM104,99.90%,Covered
TM103,Sustainability Tracking,Analytics & Insights,FP015,AI,demo-bank-platform,P2,Y,Digital_All,TM103,Yes,ƒ?? New TM103,Track sustainability metrics,PY+J21,TM075,99.90%,Covered
